curve_id,age,volume,ps124,ps126,ps128,ps1210,p34,p36,p38,p310,p44,p46,p48,p410,pbark,pchips,psawdust,pshaving,ptrim
2421007,160.0,362,23610,18760,10637,8160,19120,10544,6267,4785,4396,1887,994,730,11.22,36.47,8.76,4.93,3.42
2421007,170.0,379,23472,19878,11493,9393,18783,10967,6643,5450,4317,1992,1072,839,11.67,37.46,9.14,5.15,3.57
2421007,180.0,395,23277,20942,12195,10523,18422,11374,6942,6057,4235,2096,1136,939,12.07,38.3,9.48,5.34,3.71
2421007,190.0,409,23093,21881,12828,11540,18090,11730,7207,6599,4162,2188,1195,1029,12.42,39.04,9.77,5.51,3.83
2421007,200.0,422,23114,22355,13653,12442,17913,11858,7540,7007,4145,2222,1268,1108,12.75,39.69,10.05,5.67,3.94
2421007,210.0,433,23129,22769,14401,13255,17749,11967,7840,7373,4129,2252,1335,1179,13.04,40.27,10.31,5.82,4.04
2421007,220.0,444,23135,23114,15075,13977,17595,12050,8110,7694,4114,2276,1395,1243,13.29,40.76,10.53,5.94,4.12
2421007,230.0,454,23133,23394,15686,14666,17450,12100,8349,8006,4098,2298,1452,1303,13.51,41.18,10.72,6.06,4.2
2421007,240.0,463,23111,23556,16231,15371,17306,12076,8548,8340,4078,2318,1509,1362,13.7,41.46,10.89,6.15,4.27
2421007,250.0,471,23090,23705,16733,16020,17172,12055,8731,8647,4060,2337,1562,1417,13.88,41.72,11.04,6.25,4.33
2421007,260.0,478,22903,23916,16959,16743,16926,12091,8838,8974,4022,2363,1586,1482,14.01,41.91,11.15,6.31,4.38
2421007,270.0,485,22677,24134,17091,17450,16658,12143,8917,9291,3980,2390,1601,1546,14.12,42.08,11.24,6.37,4.41
2421007,280.0,492,22468,24337,17215,18106,16410,12191,8991,9584,3941,2415,1615,1605,14.22,42.24,11.32,6.42,4.45
2421007,290.0,498,22272,24469,17437,18611,16186,12235,9062,9813,3910,2432,1635,1650,14.31,42.35,11.39,6.46,4.48
2421007,300.0,498,22272,24469,17437,18611,16186,12235,9062,9813,3910,2432,1635,1650,14.31,42.35,11.39,6.46,4.48
2421007,310.0,498,22272,24469,17437,18611,16186,12235,9062,9813,3910,2432,1635,1650,14.31,42.35,11.39,6.46,4.48
2421007,320.0,498,22272,24469,17437,18611,16186,12235,9062,9813,3910,2432,1635,1650,14.31,42.35,11.39,6.46,4.48
2421007,330.0,498,22272,24469,17437,18611,16186,12235,9062,9813,3910,2432,1635,1650,14.31,42.35,11.39,6.46,4.48
2421007,340.0,498,22272,24469,17437,18611,16186,12235,9062,9813,3910,2432,1635,1650,14.31,42.35,11.39,6.46,4.48
2421007,350.0,498,22272,24469,17437,18611,16186,12235,9062,9813,3910,2432,1635,1650,14.31,42.35,11.39,6.46,4.48
2422000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422000,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422000,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2422000,30.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
