Unnamed: 0,au_id,tsa,stratum_code,si_level,canfi_species,unmanaged_curve_id,managed_curve_id,fert_curve_id
0,801000,8,BWBS_SB,L,101,801000,801000,801000
1,802000,8,BWBS_SB,M,101,802000,802000,802000
2,803000,8,BWBS_SB,H,101,803000,803000,803000
3,801001,8,BWBS_AT,L,1201,801001,801001,801001
4,802001,8,BWBS_AT,M,1201,802001,802001,802001
5,803001,8,BWBS_AT,H,1201,803001,803001,803001
6,801002,8,BWBS_PL,L,204,801002,801002,801002
7,802002,8,BWBS_PL,M,204,802002,802002,802002
8,803002,8,BWBS_PL,H,204,803002,823002,823342
9,801003,8,BWBS_SW,L,105,801003,821003,821343
10,802003,8,BWBS_SW,M,105,802003,822003,822343
11,803003,8,BWBS_SW,H,105,803003,823003,823343
12,801004,8,BWBS_S,L,100,801004,801004,801004
13,802004,8,BWBS_S,M,100,802004,802004,802004
14,803004,8,BWBS_S,H,100,803004,823004,823344
15,801005,8,SWB_S,L,100,801005,801005,801005
16,802005,8,SWB_S,M,100,802005,802005,802005
17,803005,8,SWB_S,H,100,803005,823005,823345
18,801006,8,BWBS_EP,L,1303,801006,801006,801006
19,802006,8,BWBS_EP,M,1303,802006,802006,802006
20,803006,8,BWBS_EP,H,1303,803006,803006,803006
21,801007,8,SWB_PL,L,204,801007,801007,801007
22,802007,8,SWB_PL,M,204,802007,802007,802007
23,803007,8,SWB_PL,H,204,803007,803007,803007
24,801008,8,BWBS_AT+SW,L,1201,801008,801008,801008
25,802008,8,BWBS_AT+SW,M,1201,802008,802008,802008
26,803008,8,BWBS_AT+SW,H,1201,803008,803008,803008
27,1601000,16,ESSF_BL,L,304,1601000,1601000,1601000
28,1602000,16,ESSF_BL,M,304,1602000,1602000,1602000
29,1603000,16,ESSF_BL,H,304,1603000,1623000,1623340
30,1601001,16,ESSF_SX,L,100,1601001,1601001,1601001
31,1602001,16,ESSF_SX,M,100,1602001,1622001,1622341
32,1603001,16,ESSF_SX,H,100,1603001,1623001,1623341
33,1601002,16,BWBS_SX,L,100,1601002,1601002,1601002
34,1602002,16,BWBS_SX,M,100,1602002,1622002,1622342
35,1603002,16,BWBS_SX,H,100,1603002,1623002,1623342
36,1601003,16,SBS_SX,L,100,1601003,1621003,1621343
37,1602003,16,SBS_SX,M,100,1602003,1622003,1622343
38,1603003,16,SBS_SX,H,100,1603003,1623003,1623343
39,1601004,16,BWBS_PL,L,204,1601004,1601004,1601004
40,1602004,16,BWBS_PL,M,204,1602004,1622004,1622344
41,1603004,16,BWBS_PL,H,204,1603004,1623004,1623344
42,1601005,16,SWB_BL,L,304,1601005,1601005,1601005
43,1602005,16,SWB_BL,M,304,1602005,1602005,1602005
44,1603005,16,SWB_BL,H,304,1603005,1603005,1603005
45,1601006,16,ESSF_PL,L,204,1601006,1601006,1601006
46,1602006,16,ESSF_PL,M,204,1602006,1602006,1602006
47,1603006,16,ESSF_PL,H,204,1603006,1623006,1623346
48,1601007,16,SWB_SX,L,100,1601007,1601007,1601007
49,1602007,16,SWB_SX,M,100,1602007,1602007,1602007
50,1603007,16,SWB_SX,H,100,1603007,1623007,1623347
51,1601008,16,SBS_PL,L,204,1601008,1621008,1621348
52,1602008,16,SBS_PL,M,204,1602008,1622008,1622348
53,1603008,16,SBS_PL,H,204,1603008,1623008,1623348
54,1601009,16,SWB_PL,L,204,1601009,1601009,1601009
55,1602009,16,SWB_PL,M,204,1602009,1602009,1602009
56,1603009,16,SWB_PL,H,204,1603009,1623009,1623349
