Unnamed: 0,au_id,tsa,stratum_code,si_level,canfi_species,unmanaged_curve_id,managed_curve_id,fert_curve_id
57,1601010,16,ESSF_SW,L,105,1601010,1621010,1621360
58,1602010,16,ESSF_SW,M,105,1602010,1622010,1622360
59,1603010,16,ESSF_SW,H,105,1603010,1623010,1623360
60,1601011,16,BWBS_AT,L,1201,1601011,1601011,1601011
61,1602011,16,BWBS_AT,M,1201,1602011,1622011,1622361
62,1603011,16,BWBS_AT,H,1201,1603011,1623011,1623361
63,2401000,24,SBS_SX,L,100,2401000,2401000,2401000
64,2402000,24,SBS_SX,M,100,2402000,2422000,2422350
65,2403000,24,SBS_SX,H,100,2403000,2423000,2423350
66,2401001,24,ESSF_BL,L,304,2401001,2401001,2401001
67,2402001,24,ESSF_BL,M,304,2402001,2402001,2402001
68,2403001,24,ESSF_BL,H,304,2403001,2423001,2423351
69,2401002,24,SBS_PLI,L,204,2401002,2421002,2421352
70,2402002,24,SBS_PLI,M,204,2402002,2422002,2422352
71,2403002,24,SBS_PLI,H,204,2403002,2423002,2423352
72,2401003,24,SBS_BL,L,304,2401003,2401003,2401003
73,2402003,24,SBS_BL,M,304,2402003,2422003,2422353
74,2403003,24,SBS_BL,H,304,2403003,2423003,2423353
75,2401004,24,ESSF_SE,L,104,2401004,2401004,2401004
76,2402004,24,ESSF_SE,M,104,2402004,2422004,2422354
77,2403004,24,ESSF_SE,H,104,2403004,2423004,2423354
78,2401005,24,SBS_AT,L,1201,2401005,2401005,2401005
79,2402005,24,SBS_AT,M,1201,2402005,2402005,2402005
80,2403005,24,SBS_AT,H,1201,2403005,2403005,2403005
81,2401006,24,SBS_AT+SX,L,1201,2401006,2401006,2401006
82,2402006,24,SBS_AT+SX,M,1201,2402006,2402006,2402006
83,2403006,24,SBS_AT+SX,H,1201,2403006,2403006,2403006
84,2401007,24,SBS_SX+AT,L,100,2401007,2421007,2421357
85,2402007,24,SBS_SX+AT,M,100,2402007,2422007,2422357
86,2403007,24,SBS_SX+AT,H,100,2403007,2423007,2423357
87,4001000,40,BWBS_SB,L,101,4001000,4001000,4001000
88,4002000,40,BWBS_SB,M,101,4002000,4002000,4002000
89,4003000,40,BWBS_SB,H,101,4003000,4003000,4003000
90,4001001,40,BWBS_AT,L,1201,4001001,4021001,4021351
91,4002001,40,BWBS_AT,M,1201,4002001,4022001,4022351
92,4003001,40,BWBS_AT,H,1201,4003001,4023001,4023351
93,4001002,40,BWBS_PL,L,204,4001002,4021002,4021352
94,4002002,40,BWBS_PL,M,204,4002002,4022002,4022352
95,4003002,40,BWBS_PL,H,204,4003002,4023002,4023352
96,4001003,40,BWBS_SW,L,105,4001003,4021003,4021353
97,4002003,40,BWBS_SW,M,105,4002003,4022003,4022353
98,4003003,40,BWBS_SW,H,105,4003003,4023003,4023353
99,4001004,40,ESSF_SW,L,105,4001004,4001004,4001004
100,4002004,40,ESSF_SW,M,105,4002004,4022004,4022354
101,4003004,40,ESSF_SW,H,105,4003004,4023004,4023354
102,4001005,40,BWBS_SX,L,100,4001005,4021005,4021355
103,4002005,40,BWBS_SX,M,100,4002005,4022005,4022355
104,4003005,40,BWBS_SX,H,100,4003005,4023005,4023355
105,4001006,40,SWB_SX,L,100,4001006,4001006,4001006
106,4002006,40,SWB_SX,M,100,4002006,4002006,4002006
107,4003006,40,SWB_SX,H,100,4003006,4023006,4023356
108,4101000,41,BWBS_AT,L,1201,4101000,4121000,4121350
109,4102000,41,BWBS_AT,M,1201,4102000,4122000,4122350
110,4103000,41,BWBS_AT,H,1201,4103000,4123000,4123350
111,4101001,41,ESSF_BL,L,304,4101001,4101001,4101001
112,4102001,41,ESSF_BL,M,304,4102001,4102001,4102001
113,4103001,41,ESSF_BL,H,304,4103001,4103001,4103001
114,4101002,41,ESSF_SE,L,104,4101002,4121002,4121352
115,4102002,41,ESSF_SE,M,104,4102002,4102002,4102002
116,4103002,41,ESSF_SE,H,104,4103002,4123002,4123352
117,4101003,41,BWBS_PLI,L,204,4101003,4121003,4121353
118,4102003,41,BWBS_PLI,M,204,4102003,4122003,4122353
119,4103003,41,BWBS_PLI,H,204,4103003,4123003,4123353
120,4101004,41,ESSF_PLI,L,204,4101004,4121004,4121354
121,4102004,41,ESSF_PLI,M,204,4102004,4122004,4122354
122,4103004,41,ESSF_PLI,H,204,4103004,4123004,4123354
123,4101005,41,BWBS_SB,L,101,4101005,4101005,4101005
124,4102005,41,BWBS_SB,M,101,4102005,4122005,4122355
125,4103005,41,BWBS_SB,H,101,4103005,4123005,4123355
126,4101006,41,BWBS_SW,L,105,4101006,4121006,4121356
127,4102006,41,BWBS_SW,M,105,4102006,4122006,4122356
128,4103006,41,BWBS_SW,H,105,4103006,4123006,4123356
129,4101007,41,ESSF_SX,L,100,4101007,4121007,4121357
130,4102007,41,ESSF_SX,M,100,4102007,4122007,4122357
131,4103007,41,ESSF_SX,H,100,4103007,4123007,4123357
132,4101008,41,BWBS_AC,L,1211,4101008,4121008,4121358
133,4102008,41,BWBS_AC,M,1211,4102008,4122008,4122358
134,4103008,41,BWBS_AC,H,1211,4103008,4123008,4123358
135,4101009,41,ESSF_PL,L,204,4101009,4121009,4121359
136,4102009,41,ESSF_PL,M,204,4102009,4122009,4122359
137,4103009,41,ESSF_PL,H,204,4103009,4123009,4123359
